Region,Year,Total Deaths Rate (in Thousands),,,,,,,,,,,Total Population (in Thousands),,,,,,,,,,
,,0 - 9, 10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70-79,80-89,90-99,Total,0 - 9,10 to 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 - 99,Total
Asia,2014,  1 023,  5 156,  17 784,  11 934,  24 162,  22 188,  35 343,  13 847,  7 369,  1 593,  140 400, 1 667 891, 2 836 382, 8 382 726, 3 860 234, 2 355 543,  942 458,  829 317,  334 882,  86 544,  6 827, 21 302 804
Asia,2015,   974,  5 097,  17 898,  12 160,  24 698,  22 736,  36 244,  14 148,  7 635,  1 692,  143 283, 1 667 909, 2 839 633, 8 525 070, 3 917 401, 2 401 522,  975 376,  862 827,  344 565,  90 605,  7 319, 21 632 227
Asia,2016,   912,  5 014,  17 960,  12 372,  25 251,  23 306,  37 206,  14 473,  7 902,  1 790,  146 187, 1 667 473, 2 842 854, 8 662 574, 3 969 048, 2 444 094, 1 007 813,  897 279,  355 392,  94 697,  7 799, 21 949 024
Asia,2017,   859,  4 941,  18 050,  12 627,  25 990,  24 054,  38 511,  14 939,  8 231,  1 900,  150 103, 1 667 270, 2 847 012, 8 792 618, 4 012 295, 2 481 302, 1 039 011,  933 206,  367 259,  98 704,  8 272, 22 246 948
Asia,2018,   816,  4 823,  17 926,  12 709,  26 355,  24 457,  39 259,  15 196,  8 420,  1 992,  151 953, 1 661 571, 2 847 330, 8 917 327, 4 048 930, 2 515 459, 1 071 440,  969 772,  379 826,  102 726,  8 782, 22 523 163
Asia,2019,   770,  4 702,  17 875,  12 837,  26 938,  25 071,  40 359,  15 622,  8 672,  2 101,  154 948, 1 650 313, 2 843 337, 9 040 051, 4 081 746, 2 547 771, 1 105 715, 1 004 336,  393 461,  106 801,  9 315, 22 782 846
Asia,2020,   721,  4 657,  18 872,  13 923,  29 451,  27 501,  44 208,  16 999,  9 372,  2 324,  168 027, 1 633 947, 2 834 574, 9 160 467, 4 112 521, 2 577 831, 1 139 432, 1 037 033,  408 033,  110 680,  9 808, 23 024 326
Asia,2021,   689,  5 309,  22 157,  16 347,  33 735,  31 411,  50 039,  19 128,  10 333,  2 593,  191 740, 1 611 603, 2 820 464, 9 272 474, 4 141 353, 2 604 891, 1 170 207, 1 065 136,  422 046,  113 788,  10 157, 23 232 118
Asia,2022,   659,  4 487,  18 106,  13 335,  29 180,  27 340,  44 365,  17 308,  9 576,  2 456,  166 812, 1 587 174, 2 803 491, 9 386 344, 4 170 536, 2 631 144, 1 200 861, 1 098 017,  438 436,  116 910,  10 526, 23 443 440
Asia,2023,   646,  4 405,  18 011,  13 377,  30 000,  28 195,  46 027,  18 061,  9 939,  2 567,  171 228, 1 564 104, 2 784 559, 9 505 473, 4 200 387, 2 657 540, 1 233 445, 1 140 401,  457 843,  120 430,  11 051, 23 675 234
