Entity,Year,Meningitis,Neoplasms,Malaria,Drowning ,Interpersonal_violence,HIV,Drug_use_disorders ,Road_injuries,Maternal_disorders,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Alcohol_use_disorders ,Diarrheal ,Nutritional_deficiencies,Self-harm,Diabetes_mellitus,Poisonings,Cardiovascular ,Kidney_disease ,Respiratory_diseases,Liver_diseases ,Digestive_diseases ,Alzheimer_disease ,Parkinson_disease ,Total_death_per_year
Madagascar,2019,2084,11011,5920,437,517,2530,49,2931,2348,13674,159,18314,5285,1522,2848,379,35397,1938,6030,4524,7189,859,208,126153
Malawi,2019,2369,10110,7076,356,333,14227,39,2077,1151,9206,126,7596,2062,1209,2497,290,15650,1783,2402,3691,5845,1019,214,91328
Malaysia,2019,291,31294,5,774,577,1521,138,7592,255,21711,176,1361,239,1803,3779,206,58824,6105,7473,4783,10072,3667,1019,163665
Maldives,2019,2,214,0,20,10,1,2,22,7,35,1,11,5,20,52,0,522,89,123,33,49,48,11,1277
Mali,2019,6260,9336,18000,993,2315,4496,19,2757,3520,15184,100,13882,14865,947,2755,565,19519,2698,4574,3267,6246,1226,325,133849
Malta,2019,2,1002,0,4,5,1,9,15,0,192,3,3,1,24,123,1,1491,105,157,40,124,220,52,3574
Marshall Islands,2019,1,54,0,6,4,4,0,11,2,20,1,5,1,12,36,0,156,17,26,10,17,3,2,388
Mauritania,2019,217,2064,1997,43,200,21,5,836,500,1797,18,1539,279,155,625,32,3952,590,525,603,1026,347,85,17456
Mauritius,2019,5,1517,0,37,32,91,14,165,7,289,76,30,16,113,1899,4,3309,1260,537,263,398,323,63,10448
Mexico,2019,522,106421,1,2373,30673,5034,596,21103,1019,22592,4518,4932,7558,7805,73838,471,167535,72539,38524,46328,71124,23657,4973,714136
Moldova,2019,20,6245,0,167,208,163,28,360,6,872,439,8,2,549,284,180,23438,245,971,2745,3513,1259,163,41865
Monaco,2019,0,225,0,1,0,1,0,2,0,25,0,0,0,5,4,0,161,8,20,7,18,28,7,512
Mongolia,2019,24,5961,0,159,288,15,20,672,41,530,584,49,15,592,139,89,9806,391,453,1656,2185,225,53,23947
Montenegro,2019,1,1644,0,9,21,1,1,59,0,69,8,1,1,117,152,3,3943,127,85,50,153,185,57,6687
Morocco,2019,400,27967,0,354,350,494,407,9184,567,6248,111,1375,215,2566,6617,232,117034,9320,9373,4551,7422,4945,1390,211122
