Country,Year,Cause_of_Death,Number_of_Deaths
Armenia,2013,Parkinson_disease,162
Armenia,2014,Meningitis,6
Armenia,2014,Neoplasms,5612
Armenia,2014,Malaria,0
Armenia,2014,Drowning,47
Armenia,2014,Interpersonal_violence,171
Armenia,2014,HIV,28
Armenia,2014,Drug_use_disorders,9
Armenia,2014,Road_injuries,260
Armenia,2014,Maternal_disorders,9
Armenia,2014,Alcohol_use_disorders,64
Armenia,2014,Diarrheal,15
Armenia,2014,Nutritional_deficiencies,3
Armenia,2014,Self.harm,297
Armenia,2014,Diabetes_mellitus,1195
Armenia,2014,Poisonings,19
Armenia,2014,Cardiovascular,12911
Armenia,2014,Kidney_disease,413
Armenia,2014,Respiratory_diseases,1248
Armenia,2014,Liver_diseases,1111
Armenia,2014,Digestive_diseases,1728
Armenia,2014,Alzheimer_disease,741
Armenia,2014,Parkinson_disease,164
Armenia,2015,Meningitis,6
Armenia,2015,Neoplasms,5768
Armenia,2015,Malaria,0
Armenia,2015,Drowning,47
Armenia,2015,Interpersonal_violence,162
Armenia,2015,HIV,31
Armenia,2015,Drug_use_disorders,9
Armenia,2015,Road_injuries,274
Armenia,2015,Maternal_disorders,9
Armenia,2015,Alcohol_use_disorders,65
Armenia,2015,Diarrheal,14
Armenia,2015,Nutritional_deficiencies,4
Armenia,2015,Self.harm,302
Armenia,2015,Diabetes_mellitus,1209
Armenia,2015,Poisonings,19
Armenia,2015,Cardiovascular,13198
Armenia,2015,Kidney_disease,440
Armenia,2015,Respiratory_diseases,1307
Armenia,2015,Liver_diseases,1146
Armenia,2015,Digestive_diseases,1780
Armenia,2015,Alzheimer_disease,780
Armenia,2015,Parkinson_disease,169
Armenia,2016,Meningitis,5
Armenia,2016,Neoplasms,5714
Armenia,2016,Malaria,0
Armenia,2016,Drowning,45
Armenia,2016,Interpersonal_violence,159
Armenia,2016,HIV,27
Armenia,2016,Drug_use_disorders,9
Armenia,2016,Road_injuries,262
Armenia,2016,Maternal_disorders,12
Armenia,2016,Alcohol_use_disorders,66
Armenia,2016,Diarrheal,14
Armenia,2016,Nutritional_deficiencies,4
Armenia,2016,Self.harm,297
Armenia,2016,Diabetes_mellitus,1164
Armenia,2016,Poisonings,19
Armenia,2016,Cardiovascular,13194
Armenia,2016,Kidney_disease,466
Armenia,2016,Respiratory_diseases,1298
Armenia,2016,Liver_diseases,1158
Armenia,2016,Digestive_diseases,1784
Armenia,2016,Alzheimer_disease,810
Armenia,2016,Parkinson_disease,169
Armenia,2017,Meningitis,5
Armenia,2017,Neoplasms,5756
Armenia,2017,Malaria,0
Armenia,2017,Drowning,45
Armenia,2017,Interpersonal_violence,154
Armenia,2017,HIV,22
Armenia,2017,Drug_use_disorders,9
Armenia,2017,Road_injuries,251
Armenia,2017,Maternal_disorders,9
Armenia,2017,Alcohol_use_disorders,67
Armenia,2017,Diarrheal,14
Armenia,2017,Nutritional_deficiencies,4
Armenia,2017,Self.harm,289
Armenia,2017,Diabetes_mellitus,1196
Armenia,2017,Poisonings,18
Armenia,2017,Cardiovascular,13391
Armenia,2017,Kidney_disease,455
Armenia,2017,Respiratory_diseases,1319
Armenia,2017,Liver_diseases,1138
Armenia,2017,Digestive_diseases,1758
Armenia,2017,Alzheimer_disease,839
Armenia,2017,Parkinson_disease,171
Armenia,2018,Meningitis,5
Armenia,2018,Neoplasms,5789
Armenia,2018,Malaria,0
Armenia,2018,Drowning,44
Armenia,2018,Interpersonal_violence,154
Armenia,2018,HIV,20
Armenia,2018,Drug_use_disorders,10
Armenia,2018,Road_injuries,245
Armenia,2018,Maternal_disorders,8
Armenia,2018,Alcohol_use_disorders,68
Armenia,2018,Diarrheal,14
Armenia,2018,Nutritional_deficiencies,4
Armenia,2018,Self.harm,289
Armenia,2018,Diabetes_mellitus,1214
Armenia,2018,Poisonings,18
Armenia,2018,Cardiovascular,13489
Armenia,2018,Kidney_disease,453
Armenia,2018,Respiratory_diseases,1326
Armenia,2018,Liver_diseases,1127
Armenia,2018,Digestive_diseases,1740
Armenia,2018,Alzheimer_disease,861
